               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,            0.024155,            0.010006,          0.00055474,             0.94078,             0.90568,              0.9443,             0.60281,            0.028265,           0.0059255,          0.00055005,             0.00274,             0.00274,             0.00274
                 112,            0.024375,            0.010214,          0.00047125,              0.9447,             0.90826,             0.94622,             0.60266,            0.028322,           0.0059209,          0.00057375,            0.002674,            0.002674,            0.002674
                 113,            0.023857,            0.010212,          0.00050436,             0.94272,             0.91104,             0.94443,              0.6043,             0.02834,           0.0059337,           0.0005984,            0.002608,            0.002608,            0.002608
                 114,            0.023782,            0.010034,          0.00047974,              0.9416,             0.90971,             0.94385,             0.60343,            0.028341,           0.0059432,          0.00059463,            0.002542,            0.002542,            0.002542
                 115,            0.023867,             0.01001,          0.00041502,             0.93807,             0.91185,             0.94307,              0.6019,            0.028347,           0.0059519,          0.00059521,            0.002476,            0.002476,            0.002476
                 116,            0.023592,           0.0099918,          0.00048944,             0.93956,             0.90907,             0.94288,             0.60269,            0.028303,            0.005948,          0.00060597,             0.00241,             0.00241,             0.00241
                 117,            0.023793,            0.010122,          0.00044092,             0.94218,             0.90657,             0.94273,             0.60362,            0.028307,           0.0059448,          0.00062483,            0.002344,            0.002344,            0.002344
                 118,             0.02345,           0.0099638,          0.00041368,             0.93845,             0.91038,             0.94384,             0.60494,            0.028302,           0.0059459,           0.0006367,            0.002278,            0.002278,            0.002278
                 119,            0.023396,           0.0098612,          0.00044762,             0.93922,             0.91006,             0.94269,             0.60459,            0.028291,           0.0059539,          0.00064252,            0.002212,            0.002212,            0.002212
                 120,            0.023448,           0.0099133,           0.0004117,             0.93945,             0.91074,             0.94224,             0.60298,            0.028273,           0.0059697,          0.00063817,            0.002146,            0.002146,            0.002146
                 121,            0.023318,           0.0099882,          0.00042897,             0.93993,             0.90813,             0.94129,             0.60261,            0.028305,           0.0059821,            0.000639,             0.00208,             0.00208,             0.00208
                 122,            0.023217,           0.0098287,          0.00042993,             0.93769,             0.91006,             0.94233,             0.60419,             0.02831,           0.0059937,          0.00064115,            0.002014,            0.002014,            0.002014
                 123,            0.023079,           0.0096046,           0.0004834,             0.94754,             0.90074,             0.94152,             0.60377,            0.028291,           0.0060113,          0.00063428,            0.001948,            0.001948,            0.001948
                 124,            0.022884,           0.0096886,           0.0004388,             0.93999,             0.90862,             0.94318,             0.60454,            0.028297,           0.0060198,          0.00063858,            0.001882,            0.001882,            0.001882
                 125,            0.022573,           0.0096008,          0.00036013,             0.93871,             0.90863,             0.94254,             0.60568,            0.028289,           0.0060249,          0.00064409,            0.001816,            0.001816,            0.001816
                 126,            0.022623,           0.0095388,          0.00051115,              0.9509,             0.89536,             0.94284,             0.60477,            0.028313,           0.0060288,          0.00065275,             0.00175,             0.00175,             0.00175
                 127,            0.022614,           0.0096241,          0.00035992,             0.94346,              0.9003,             0.94177,              0.6055,            0.028324,           0.0060341,          0.00066767,            0.001684,            0.001684,            0.001684
                 128,            0.022606,           0.0096116,          0.00040346,             0.93804,             0.90612,             0.94112,             0.60547,            0.028322,           0.0060459,          0.00067385,            0.001618,            0.001618,            0.001618
                 129,             0.02229,            0.009605,          0.00044111,             0.93998,             0.90473,             0.94151,             0.60528,            0.028304,           0.0060517,          0.00067273,            0.001552,            0.001552,            0.001552
                 130,            0.022222,           0.0096553,          0.00035647,             0.94172,             0.90439,             0.94219,             0.60569,            0.028278,           0.0060529,          0.00067802,            0.001486,            0.001486,            0.001486
                 131,            0.022157,           0.0095086,          0.00034955,             0.94083,             0.90402,             0.94272,             0.60612,            0.028276,           0.0060548,          0.00067972,             0.00142,             0.00142,             0.00142
                 132,            0.021851,           0.0094625,           0.0003265,             0.93954,             0.90154,             0.94289,              0.6063,            0.028258,           0.0060604,          0.00068099,            0.001354,            0.001354,            0.001354
                 133,            0.022049,           0.0094528,          0.00042558,             0.93577,             0.90385,             0.94259,             0.60553,            0.028235,           0.0060665,          0.00068612,            0.001288,            0.001288,            0.001288
                 134,            0.021791,           0.0093153,          0.00034443,             0.94111,             0.90173,             0.94291,             0.60618,            0.028225,           0.0060723,          0.00068738,            0.001222,            0.001222,            0.001222
                 135,            0.021763,           0.0092782,          0.00036547,             0.93935,             0.90383,             0.94341,             0.60624,            0.028205,           0.0060757,           0.0006877,            0.001156,            0.001156,            0.001156
                 136,            0.021708,           0.0094983,          0.00033704,             0.93928,             0.90514,             0.94358,             0.60711,            0.028181,           0.0060791,          0.00069212,             0.00109,             0.00109,             0.00109
                 137,            0.021454,           0.0092323,          0.00036334,             0.94439,             0.89848,             0.94394,             0.60744,            0.028161,           0.0060793,           0.0006974,            0.001024,            0.001024,            0.001024
                 138,            0.021272,           0.0092522,          0.00038058,             0.94801,             0.89743,             0.94401,             0.60805,            0.028142,           0.0060836,           0.0007013,            0.000958,            0.000958,            0.000958
                 139,             0.02113,           0.0090954,          0.00032421,              0.9478,             0.89916,             0.94419,             0.60856,            0.028125,           0.0060908,           0.0007049,            0.000892,            0.000892,            0.000892
                 140,             0.02128,           0.0092276,          0.00031533,              0.9482,             0.90006,             0.94389,             0.60857,            0.028117,           0.0060972,          0.00070912,            0.000826,            0.000826,            0.000826
                 141,            0.020978,           0.0090453,          0.00033129,             0.94688,              0.8999,             0.94344,             0.60826,            0.028115,           0.0061057,          0.00071359,             0.00076,             0.00076,             0.00076
                 142,            0.021126,           0.0089964,          0.00035048,             0.94789,             0.89866,               0.943,             0.60833,             0.02811,           0.0061106,          0.00071607,            0.000694,            0.000694,            0.000694
                 143,            0.020937,           0.0090667,          0.00026423,             0.93889,             0.90446,             0.94318,             0.60871,            0.028102,           0.0061154,          0.00071825,            0.000628,            0.000628,            0.000628
                 144,            0.020708,           0.0089782,          0.00033639,             0.94106,             0.90441,             0.94294,              0.6089,            0.028094,           0.0061185,          0.00072066,            0.000562,            0.000562,            0.000562
                 145,            0.020727,           0.0090284,          0.00037429,             0.94096,             0.90649,             0.94309,             0.60849,             0.02809,           0.0061234,          0.00072157,            0.000496,            0.000496,            0.000496
                 146,            0.020549,           0.0090743,          0.00028894,             0.94109,             0.90697,             0.94358,             0.60881,            0.028091,           0.0061279,          0.00072346,             0.00043,             0.00043,             0.00043
                 147,            0.020474,           0.0088738,           0.0003162,             0.94206,             0.90605,              0.9438,             0.60905,            0.028091,           0.0061322,          0.00072483,            0.000364,            0.000364,            0.000364
                 148,            0.020627,           0.0089227,          0.00029045,             0.94179,             0.90563,             0.94407,             0.60943,             0.02809,           0.0061371,          0.00072637,            0.000298,            0.000298,            0.000298
                 149,             0.02009,           0.0086584,          0.00029188,             0.94191,             0.90693,             0.94367,             0.60922,            0.028088,           0.0061415,          0.00072726,            0.000232,            0.000232,            0.000232
