               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,             0.02716,            0.011237,          0.00072522,             0.93456,             0.91499,             0.94849,             0.59758,             0.02767,           0.0058092,          0.00088715,            0.004192,            0.004192,            0.004192
                  90,            0.027041,            0.011334,          0.00075327,             0.94171,             0.90111,             0.94794,             0.59699,            0.027678,           0.0057975,          0.00079033,            0.004126,            0.004126,            0.004126
                  91,            0.026847,            0.011214,          0.00072709,              0.9434,             0.89928,             0.94857,             0.59749,            0.027604,           0.0058012,          0.00067602,             0.00406,             0.00406,             0.00406
                  92,            0.026769,            0.011054,          0.00069194,             0.94716,             0.89733,             0.94609,             0.59333,            0.027724,           0.0058323,          0.00069976,            0.003994,            0.003994,            0.003994
                  93,            0.026697,            0.010876,          0.00070646,             0.93751,             0.90772,             0.94558,             0.59384,             0.02772,           0.0058328,          0.00067765,            0.003928,            0.003928,            0.003928
                  94,            0.026463,            0.011003,          0.00072089,             0.93233,             0.91289,             0.94499,             0.59408,            0.027673,           0.0058563,          0.00068271,            0.003862,            0.003862,            0.003862
                  95,            0.026404,             0.01103,           0.0007136,             0.93525,             0.91182,             0.94441,             0.59571,            0.027616,           0.0058479,          0.00070805,            0.003796,            0.003796,            0.003796
                  96,            0.026532,            0.010987,          0.00066193,             0.93747,             0.91126,             0.94467,             0.59839,             0.02766,            0.005815,            0.000672,             0.00373,             0.00373,             0.00373
                  97,            0.026277,            0.011082,          0.00070772,             0.93332,             0.91387,             0.94411,             0.59808,            0.027677,           0.0058006,          0.00069002,            0.003664,            0.003664,            0.003664
                  98,            0.026385,            0.010895,          0.00066577,             0.94392,             0.90277,             0.94511,             0.59941,            0.027594,           0.0058133,          0.00075305,            0.003598,            0.003598,            0.003598
                  99,            0.026185,            0.010911,          0.00062709,             0.94158,             0.90432,             0.94534,             0.60111,            0.027514,           0.0058117,          0.00073503,            0.003532,            0.003532,            0.003532
                 100,            0.025895,            0.010664,          0.00057745,             0.94565,             0.90284,             0.94546,             0.60184,            0.027483,           0.0058043,            0.000722,            0.003466,            0.003466,            0.003466
                 101,            0.026003,            0.010654,           0.0005711,             0.94611,              0.9003,             0.94603,              0.5999,             0.02743,           0.0057887,          0.00071989,              0.0034,              0.0034,              0.0034
                 102,            0.025762,            0.010622,          0.00071217,             0.93945,             0.90445,             0.94504,             0.60092,            0.027403,           0.0057921,           0.0007072,            0.003334,            0.003334,            0.003334
                 103,            0.025956,             0.01079,          0.00055392,             0.94021,             0.90776,             0.94418,             0.60118,            0.027343,           0.0057916,          0.00067948,            0.003268,            0.003268,            0.003268
                 104,            0.025453,            0.010667,          0.00054946,             0.94113,             0.90744,             0.94584,             0.60116,            0.027388,           0.0058091,          0.00071562,            0.003202,            0.003202,            0.003202
                 105,            0.025326,            0.010616,          0.00055741,             0.94618,             0.90403,             0.94575,             0.60106,            0.027347,           0.0058002,          0.00071242,            0.003136,            0.003136,            0.003136
                 106,            0.025288,            0.010728,          0.00056344,             0.93534,             0.91106,             0.94386,             0.60221,            0.027334,           0.0057919,          0.00064932,             0.00307,             0.00307,             0.00307
                 107,            0.025111,            0.010582,          0.00058618,             0.93867,             0.91351,             0.94736,             0.60153,            0.027272,           0.0057766,           0.0006586,            0.003004,            0.003004,            0.003004
                 108,            0.025151,            0.010639,          0.00061986,             0.93428,             0.91358,             0.94734,             0.60395,            0.027237,            0.005786,          0.00066811,            0.002938,            0.002938,            0.002938
                 109,            0.024989,            0.010632,          0.00060413,               0.941,             0.90994,             0.94602,             0.60419,             0.02725,           0.0057946,          0.00067954,            0.002872,            0.002872,            0.002872
                 110,            0.024837,            0.010267,          0.00054011,             0.94508,             0.90981,             0.94591,             0.60317,            0.027208,           0.0057987,          0.00068287,            0.002806,            0.002806,            0.002806
                 111,            0.024918,             0.01032,          0.00064874,              0.9543,             0.90239,             0.94639,             0.60432,            0.027187,            0.005799,           0.0006599,             0.00274,             0.00274,             0.00274
                 112,            0.024797,            0.010369,          0.00049308,             0.94889,             0.90287,             0.94587,             0.60353,            0.027207,           0.0058097,          0.00064339,            0.002674,            0.002674,            0.002674
                 113,            0.024486,            0.010387,          0.00060838,             0.94515,              0.9065,             0.94635,             0.60381,            0.027228,           0.0058223,          0.00065771,            0.002608,            0.002608,            0.002608
                 114,             0.02469,            0.010354,          0.00062348,             0.94267,             0.90729,             0.94568,             0.60301,            0.027255,           0.0058372,          0.00063041,            0.002542,            0.002542,            0.002542
                 115,            0.024458,            0.010325,          0.00052594,              0.9387,             0.91075,             0.94606,              0.6031,            0.027264,           0.0058396,          0.00061021,            0.002476,            0.002476,            0.002476
                 116,            0.024327,            0.010169,          0.00053303,             0.93449,             0.91369,             0.94748,             0.60494,            0.027257,           0.0058496,          0.00060474,             0.00241,             0.00241,             0.00241
                 117,            0.024381,            0.010329,          0.00044982,             0.94522,             0.90661,             0.94792,             0.60427,            0.027295,           0.0058631,          0.00061852,            0.002344,            0.002344,            0.002344
                 118,            0.024066,            0.010293,          0.00048202,             0.94317,             0.91056,             0.94751,             0.60416,             0.02731,           0.0058651,           0.0006363,            0.002278,            0.002278,            0.002278
                 119,            0.024134,            0.010066,          0.00052405,             0.94254,             0.91188,              0.9479,             0.60537,             0.02732,           0.0058671,          0.00065429,            0.002212,            0.002212,            0.002212
                 120,            0.023973,            0.010214,           0.0004722,             0.94522,             0.91256,             0.94881,             0.60516,             0.02732,           0.0058824,           0.0006764,            0.002146,            0.002146,            0.002146
                 121,            0.023731,            0.010218,          0.00046929,              0.9429,             0.91145,              0.9467,             0.60454,             0.02732,           0.0058854,           0.0006767,             0.00208,             0.00208,             0.00208
                 122,            0.023859,           0.0099061,          0.00048291,             0.94714,             0.91134,             0.94743,             0.60444,             0.02731,           0.0058868,          0.00067725,            0.002014,            0.002014,            0.002014
                 123,            0.023655,            0.010035,          0.00049919,             0.94491,             0.91063,             0.94646,             0.60455,            0.027292,           0.0058894,          0.00067021,            0.001948,            0.001948,            0.001948
